1907,44
1908,44
1909,57
1910,47
1911,50
1912,43
1913,54
1914,39
1915,34
1916,49
1917,54
1918,50
1919,43
1920,44
1921,56
1922,54
1923,57
1924,61
1925,52
1926,43
1927,63
1928,61
1929,72
1930,72
1931,43
1932,76
1933,71
1934,61
1935,63
1936,72
1937,55
1938,46
1939,63
1940,55
1941,66
1942,66
1943,51
1944,60
1945,64
1946,54
1947,56
1948,67
1949,73
1950,52
1951,59
1952,69
1953,70
1954,51
1955,67
1956,61
1957,62
1958,56
1959,59
1960,51
1961,59
1962,32
1963,31
1964,55
1965,57
1966,69
1967,60
1968,53
1969,55
1970,64
1971,68
1972,60
